Video ID,Comment ID,comments
EqzUcMzfV1w,UgxU8vGKYDpv7Js1K_J4AaABAg,Brad    this  is  great  stuff          I  love  that  you  don't  shy  away  from  explaining  things  from  a  basic  level  even  though  your  expertise  and  experience  is  well  beyond  into  the  expert  arenas    I  have  a  question  if  you  don't  mind  and  have  the  time  to  answer          I'm  looking  for  recommended  web  development  forums  where  I  can  post  related  questions  and  receive  quality  answers  generally    Any  time  you  have  a  moment          Thanks  a  bunch        PS    If  you're  already  on  one  or  more  forums  yourself    I  wouldn't  mind  joining  those      
EqzUcMzfV1w,UgxQi0ilji6p4QcsXT94AaABAg,I  started  taking  your  courses  2  years  ago  and  then  I  Left  coding  last  year    I  was  learning  3D    But  Now  this  Video  motivated  me  alot  to  get  back  to  coding  and  find  out  new  things        I  always  love  your  content      Will  keep  supporting  you
EqzUcMzfV1w,Ugx3dTClKrTt7I8f-EJ4AaABAg,Thank  you  so  much  for  the  guide    Right  now  I  am  working  as  a  load  and  performance  tester    I  wanted  to  change  my  career    I  am  very  interested  in  two  topics    Cybersecruity  and  Web  Development    and  I  have  average  experience  in  both  areas    I  couldn't  decide  recently  because  I  enjoy  both  very  much    But  then  I  decided  that  I  enjoy  web  development  a  little  more  than  cybersecurity    However    there  are  so  many    guides    where  I  was  just  confused  at  first  and  I  tried  to  learn  the  technologies  without  a  roadmap        Your  video  was  recommended  to  me  randomly  and  I  am  very  happy  about  it    Thank  you  very  much    It  really  helped  me  a  lot  
EqzUcMzfV1w,Ugze51xWpm6SsnABxIF4AaABAg,I  love  forward  to  this  every  year    Amazing  to  see  where  web  dev  is  going  for  the  future  
EqzUcMzfV1w,Ugxo42domDCHxhNmigN4AaABAg,Thank  you  for  doing  this  every  year  brad    It  helps  me  to  keep  up  with  the  latest  trends  on  web  development  
EqzUcMzfV1w,UgzPhg4bWESIVRgqKI14AaABAg,Sir    brad    you  are  truly  an  Idol  and  L  E  G  E  N  D  to  me    It  s  amazed  me  that  how  humble  you  are    Apologising  for  a  1  30  hours  long  video  where  you  have  shared  information  which  can  not  be  earned  in  2  years  or  more          Thank  you  so  much  from  the  deepest  part  of  my  heart    I  am  already  walking  towards  the  Full  stack  web  developer  roadmap    I  became  your  fan  after  watching  the  entire  series  of  PHP  front  to  back    Now  learning  MERN  stack            If  I  would  Become  something  in  future  then  you  would  always  be  a  part  of  my  life        You  already  are  just  letting  you  know  that  the  respect  and  love  which  I  have  for  you  never  ever  going  to  extinct  
EqzUcMzfV1w,UgwXSqlzZCmSxYbomDl4AaABAg,Excellent  guide      It's  crazy  how  much  there  is  to  learn  with  webdev    I'm  so  outta  the  game  with  enterprise  java  
EqzUcMzfV1w,Ugxp4HCvY7OqtCP3Utp4AaABAg,Just  finished  a  web  dev  bootcamp    this  video  is  awesome    It  made  me  feel  confident  in  some  areas  and  also  highlighted  what  I  need  to  learn  and  what  I'm  interested  in  looking  into        Appreciate  all  your  work    Brad  
EqzUcMzfV1w,UgyQxKnoGqb7oPnYaRl4AaABAg,Brad    I  really  need  to  thank  you  for  all  your  videos  you  put  out  for  us  as  dev  community    Your  voice  is  amazingly  calm    your  way  of  explaining  stuff  is  great    your  English  ist  very  clear    which  makes  it  easy  to  understand    even  as  non  native  English  speakers  as  I  am      and  last  but  not  least    the  content  is  always  spot  on    Thanks  for  all  your  work  and  keep  it  up    Best  regards  from  Munich
EqzUcMzfV1w,UgxdY2lv1BB6COE9-J14AaABAg,Wow  I  can't  believe  another  Year  has  gone  by    As  always  Brad  you  have  put  together  a  great  picture  of  where  to  be  and  whats  ahead    I  am  coming  up  to  3  years  your  Patreon    Best  money  I  ever  spent    Thanks  
